id,listing,link,mileage,price,is_hybrid,date_found,price_num,mileage_num,year,days_on_market,hybrid_from_text
109,2023 FORD MAVERICK XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12765285,10500,"$37,995",False,2025-07-22,37995,10500,2023,20,False
110,"2023 Ford Maverick XLT, Solo 19k millas!",https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12755745,19288,"$28,987",False,2025-07-22,28987,19288,2023,20,False
111,2023 Ford Maverick XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12758532,7831,"$34,995",False,2025-07-22,34995,7831,2023,20,False
112,Ford Maverick XLT BLACK PCKG 2.0L 2025,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12758231,0,"$43,995",False,2025-07-22,43995,0,2025,20,False
113,MAVERICK CONNECT IMPORTADA $34500,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12755563,920,"$34,500",False,2025-07-22,34500,920,,20,False
114,Ford Maverick Lariat 2022.,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12754768,7250,"$29,995",False,2025-07-22,29995,7250,2022,20,False
115,Ford Maverick 2024 XLT Hybrida AzurreGray,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12750307,,"$34,897",True,2025-07-22,34897,,2024,20,True
116,FORD MAVERICK XL,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12745527,4,"$34,995",False,2025-07-22,34995,4,,20,False
117,Ford Maverick XL Hybrid 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12743719,,"$33,900",True,2025-07-22,33900,,2024,20,True
118,Pre-Owned 2023 Ford Maverick Pickup,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12742662,12350,"$29,995",False,2025-07-22,29995,12350,2023,20,False
119,Ford Maverick Lariat 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12741497,,"$35,984",False,2025-07-22,35984,,2023,20,False
120,"Ford Maverick XLT hybrid 2023 | 37,036 | CPO",https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12739324,37036,"$27,990",True,2025-07-22,27990,37036,2023,20,True
121,Ford Maverick XLT FX4 Off-Road 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12712457,15360,"$29,900",False,2025-07-22,29900,15360,2023,20,False
122,Ford Maverick Lariat AWD 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12712482,10247,"$30,990",False,2025-07-22,30990,10247,2022,20,False
123,Ford Maverick XLT AWD 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12724417,23019,"$31,995",False,2025-07-22,31995,23019,2022,20,False
124,FORD MAVERICK XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12724329,23000,"$31,995",False,2025-07-22,31995,23000,2022,20,False
125,FORD MAVERICK XLT 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12720838,895,"$34,995",False,2025-07-22,34995,895,2024,20,False
126,Ford Maverick Lariat AWD 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12712477,10247,"$30,995",False,2025-07-22,30995,10247,2022,20,False
127,FORD MAVERICK FX4,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12671544,30211,"$33,495",False,2025-07-22,33495,30211,,20,False
128,Ford Maverick XLT FX4 Off-Road Package 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12716081,59549,"$27,990",False,2025-07-22,27990,59549,2022,20,False
129,Ford Maverick XLT FX4 Off-Road 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12716079,59549,"$27,990",False,2025-07-22,27990,59549,2022,20,False
130,Ford Maverick XLT FX4 Off-Road 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12712453,15360,"$29,990",False,2025-07-22,29990,15360,2023,20,False
131,Ford Maverick 2022 Lariat PKG SOLO 13k millas,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12498624,13000,"$32,974",False,2025-07-22,32974,13000,2022,20,False
132,Ford Maverick XLT FX4 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12682040,59594,"$28,990",False,2025-07-22,28990,59594,2022,20,False
133,Ford Maverick XLT EN LIQUIDACION,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12706397,73000,"$24,995",False,2025-07-22,24995,73000,,20,False
134,Ford Maverick XLT/ Ahorra!!,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12575397,29000,"$27,495",False,2025-07-22,27495,29000,,20,False
135,Ford Maverick XLT Hybrid 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12703210,,"$34,990",True,2025-07-22,34990,,2024,20,True
136,"2023 Ford Maverick XLT AWD, SOLO 4K MILLAS!",https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12681009,4238,"$32,987",False,2025-07-22,32987,4238,2023,20,False
137,"Nuevo Ford Maverick 2023, Plata",https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12122469,,"$37,995",False,2025-07-22,37995,,2023,20,False
138,Ford Maverick XLT/FWD/  24K,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12600496,24400,"$32,995",False,2025-07-22,32995,24400,,20,False
139,Ford Maverick XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12668615,27775,"$26,990",False,2025-07-22,26990,27775,2022,20,False
140,Ford Maverick XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12668601,27775,"$26,990",False,2025-07-22,26990,27775,2022,20,False
141,2022 FORD MAVERICK XLT FX4 OFF ROAD,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12659773,23019,"$31,995",False,2025-07-22,31995,23019,2022,20,False
142,Ford Maverick XLT 2021,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12641664,20775,"$31,990",False,2025-07-22,31990,20775,2021,20,False
143,Ford Maverick XLT/FWD/24k millas,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12569520,24459,"$32,995",False,2025-07-22,32995,24459,,20,False
144,2022 Ford Maverick,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12613780,,"$30,680",False,2025-07-22,30680,,2022,20,False
145,FORD MAVERICK XLT AWD 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12472094,30,"$39,995",False,2025-07-22,39995,30,2023,20,False
146,Ford MavericK XLT FWD 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12581292,149,"$42,995",False,2025-07-22,42995,149,2023,20,False
147,GANGA***FORD MAVERICK|2022|16K MILLAS**,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12564923,,"$29,990",False,2025-07-22,29990,,2022,20,False
148,Ford Maverick XLT FX4 Off-Road 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12559006,64,"$39,600",False,2025-07-22,39600,64,2023,20,False
149,Ford Maverick Lariat AWD 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12546520,15449,"$34,990",False,2025-07-22,34990,15449,2022,20,False
150,2022 Ford Maverick XLT Lariat FX4,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12524370,24469,"$38,995",False,2025-07-22,38995,24469,2022,20,False
151,•••••FORD MAVERICK•••••,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12472709,,"$18,900",False,2025-07-22,18900,,,20,False
152,2023 FORD MAVERICK XLT,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12433814,899,"$39,995",False,2025-07-22,39995,899,2023,20,False
153,POLARIS CAN-NAM MAVERICK X TURBO RR,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12398011,657,"$39,995",False,2025-07-22,39995,657,,20,False
154,2023 FORD MAVERICK XLT PREOWNED,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12413468,599,"$39,995",False,2025-07-22,39995,599,2023,20,False
155,2023 Ford Mavericks XLT PKG- CERTIFICADA,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12732407,23683,"$30,900",False,2025-07-22,30900,23683,2023,20,False
156,MAVERIK XL 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12699462,12,"$31,995",False,2025-07-22,31995,12,2024,20,False
157,MAVERIK XL HYBRID 2025,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12733901,,"$36,991",True,2025-07-22,36991,,2025,20,True
158,Maveric 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12740016,5994,"$27,995",False,2025-07-22,27995,5994,2023,20,False
159,FORD MAVRICK CON CANOPY,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12739626,11,"$34,900",False,2025-07-22,34900,11,,20,False
160,FORD MAVERICKS,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12763913,28847,"$30,995",False,2025-07-22,30995,28847,,20,False
161,MAVERIK XL HYBRID 2024,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12631710,14,"$29,891",True,2025-07-22,29891,14,2024,20,True
162,FORD MAVERIC XLT NIGHT PACKAGE 2023,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12756749,7830,"$33,995",False,2025-07-22,33995,7830,2023,20,False
163,Ford Maverik XLT 2022,https://www.clasificadosonline.com/UDTransDetail.asp?AutoNumAnuncio=12759209,10756,"$32,998",False,2025-07-22,32998,10756,2022,20,False
